Name, Title
Lucas Käldström,Student and Cloud Native Freelancer
Joseph Jacks,Distributed systems enthusiast.
Janet Kuo,Software Engineer
Ahmet Alp Balkan,Software Engineer at Google
Audun Fauchald Strand,Senior Software Engineer
Arash Kaffamanesh,Founder Kubernauts.IO
Justin Garrison,Sr Systems Engineer
Pengfei Ni,Sr Software Engineer
Puja Abbassi,Developer Advocate
Tobias Bradtke,Support Engineer for managed Kubernetes Cluster
Justin Santa Barbara,Community Wonk
Sarah Novotny,Software Consultant
