Name, Title
Tyler DeShazer,Technical Recruiting Manager
Jeff Stump,Head of Executive Talent at Andreessen Horowitz
Tim Cashman,Global Manager- Recruitment
Kiana Davari,Technical Recruiting Lead at Lyft
Noah Wisnia,Technical Recruiting and Product Management
Andrew Hilson,Managing Director at Expansion Pack Search and Selection
Lee Casey Manning, Jr.,Director of Recruiting at KIXEYE
Amanda Norden,Recruiting Coordinator at Radius Intelligence
Andre Agha,Senior Technical Recruiter
Alexandria Farrell,Executive Recruiter at Redpath Partners
Nako Mbelle,Fintech Recruiter
Natalya Izergina,Talent Sourcing and Recruitment Specialist
Jac Evans,Director at Platform Recruitment at Platform Recruitment
Dominic Lopiccolo,Technical Recruiter
Jason Lohrentz,Head of Talent @ GoFundMe
Nicole Chatelin-Tembrevilla,Talent Acquisition Partner/Recruiter/Sourcer
Laszlo Szabo,Recruiter
Morgan Nichols,Managing Partner
Nicholas Richie,Executive Recruiter
Laura Stewart,Manager- Direct Sourcing R&D at Pfizer
Geoff Boss,Talent Engineer at CodeFights
Darja Perceva,Full Stack Recruiter
Kevin Finnegan,Sr. Recruiter
Jack Read,FinTech Specialist Recruitment Consultant
Nic Stevens,Business Services - Sr. Recruiting Partner
Stefan Lehtis,Executive Recruiter- Analytics
Sam Stone,Senior Recruiter
Tris Revill,Sourcer at Indeed.com
